comparison,metric,mean,ci95,lower95,upper95,better_seeds,n,split
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,failure_family_f1,0.32104928070900296,0.13961447152328973,0.18143480918571323,0.4606637522322927,9,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,task_success,0.07187500000000001,0.159055506033226,-0.08718050603322598,0.230930506033226,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,dominant_failure_rate,-0.1486111111111111,0.12806505347599983,-0.276676164587111,-0.020546057635111276,2,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,safety_violation_rate,0.059722222222222225,0.05727998028958554,0.002442241932636688,0.11700220251180776,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,intervention_cost,-0.015946632358333337,0.008553919080673628,-0.024500551439006965,-0.00739271327765971,2,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,unnecessary_intervention_rate,-0.0027777777777777775,0.002645524470809441,-0.005423302248587218,-0.0001322533069683363,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,planning_regret_to_oracle,-0.058273274010874065,0.04289736607332628,-0.10117064008420035,-0.015375907937547784,2,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_conformal_risk_shield,robust_utility,0.16844180035327547,0.2926426658391251,-0.12420086548584966,0.4610844661924006,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,dominant_failure_accuracy,0.24340277777777777,0.1282323109443572,0.11517046683342058,0.37163508872213497,9,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,top2_failure_recall,0.17743055555555556,0.08306898516987936,0.0943615703856762,0.2604995407254349,9,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,calibration_error,-0.03880139087274596,0.06424335518478752,-0.10304474605753347,0.025441964312041564,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,early_warning_lead_time,0.20480869444444452,0.01468308157433597,0.19012561287010854,0.2194917760187805,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,cross_morphology_generalization_gap,-0.05841066666666668,0.0,-0.05841066666666668,-0.05841066666666668,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,morphology_shift_detection,0.1513749863144647,0.00497014847687806,0.14640483783758662,0.15634513479134277,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,failure_family_f1,0.22820187058679123,0.1165936475283288,0.11160822305846242,0.34479551811512005,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,task_success,0.03125000000000002,0.09841815367731212,-0.0671681536773121,0.12966815367731213,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,dominant_failure_rate,-0.036458333333333336,0.08238346054996677,-0.1188417938833001,0.045925127216633436,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,safety_violation_rate,-0.041666666666666664,0.053548570634608,-0.09521523730127467,0.011881903967941337,2,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,intervention_cost,0.006063997245833333,0.0040759266086367795,0.001988070637196553,0.010139923854470111,9,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,unnecessary_intervention_rate,-0.0006944444444444444,0.0016976038143696585,-0.002392048258814103,0.0010031593699252142,1,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,planning_regret_to_oracle,-0.04186549366691146,0.027615012328601175,-0.06948050599551264,-0.014250481338310285,1,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_domain_randomized_policy_selector,robust_utility,0.13880625574365152,0.20112139148596503,-0.06231513574231351,0.33992764722961655,7,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,dominant_failure_accuracy,0.1625,0.12053840977237368,0.04196159022762633,0.2830384097723737,8,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,top2_failure_recall,0.0875,0.11691478759463679,-0.029414787594636796,0.20441478759463677,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,calibration_error,0.04358146471375385,0.09303387553026965,-0.0494524108165158,0.1366153402440235,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,early_warning_lead_time,0.28669700000000004,0.018790227487707038,0.267906772512293,0.30548722748770707,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,cross_morphology_generalization_gap,-0.00609599999999999,0.0,-0.00609599999999999,-0.00609599999999999,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_online_system_identification,morphology_shift_detection,0.024347979658894108,0.009932531685987216,0.014415447972906892,0.034280511344881325,9,10,actuator_degradation_shift
