seed,ablation,dominant_failure_accuracy,top2_failure_recall,calibration_error,early_warning_lead_time,cross_morphology_generalization_gap,morphology_shift_detection,failure_family_f1,task_success,dominant_failure_rate,safety_violation_rate,intervention_cost,unnecessary_intervention_rate,planning_regret_to_oracle,robust_utility
2,full_cost_calibrated_failure_predictive_morphology_v5,0.6918402777777778,0.7994791666666666,0.14205359005328974,0.7839212916666668,0.10614966666666667,0.5867113983475077,0.5051010865420588,0.6302083333333334,0.1371527777777778,0.0390625,0.018901021618055555,0.0,0.18052604500553404,0.33678429487911227
2,minus_confidence_gate,0.9487847222222222,0.9748263888888888,0.35853932843549774,0.8210740694444446,0.10614966666666667,0.5855019594471432,0.9141947160349938,0.9244791666666666,0.0,0.09461805555555555,0.03265584219097222,0.0,0.08657172746056384,0.73091125901389
2,minus_constraint_family_head,0.5590277777777778,0.7430555555555556,0.17457383700606538,0.7674542777777779,0.10614966666666667,0.5792174020641233,0.352489178773901,0.5824652777777778,0.2569444444444444,0.1232638888888889,0.012001647249999999,0.0,0.22216100396910132,0.06379863092152634
2,minus_cost_calibration,0.4991319444444444,0.6241319444444444,0.13179336708800599,0.752549763888889,0.10614966666666667,0.5745432897644787,0.3083874200094438,0.5503472222222222,0.3272569444444444,0.0,0.030083207697916666,0.0,0.19060649023306442,0.1415796800394591
2,minus_failure_history,0.6875,0.6875,0.20260907277488488,0.7633763333333334,0.12479766666666667,0.5881097449607442,0.45096430795835557,0.8472222222222222,0.019097222222222224,0.03993055555555555,0.018002470875,0.0,0.14648043327642846,0.6803626206014967
2,minus_morphology_embedding,0.625,0.75,0.24871614272361556,0.7739473333333334,0.22688466666666668,0.3083031232163882,0.3949576812076812,0.11458333333333333,0.375,0.1935763888888889,0.0026867798993055556,0.0,0.30146964782901325,-0.6396249572127746
2,minus_online_correction,0.9522569444444444,0.9522569444444444,0.40799366835462314,0.799677013888889,0.13702833333333334,0.5779892812428459,0.9085642649531538,0.5121527777777778,0.04774305555555555,0.12413194444444445,0.017966284208333332,0.0,0.1950083619154933,0.17420272154318245
2,morphology_only,0.5182291666666666,0.734375,0.23603092801986575,0.7419399583333335,0.134347,0.5893513499031862,0.30646835674613454,0.7638888888888888,0.09895833333333333,0.06510416666666667,0.03317381097569444,0.0008680555555555555,0.18783011851746897,0.4731507953869206
2,online_adaptation_only,0.75,0.75,0.42146179153021274,0.7988813333333334,0.19434933333333335,0.5938881646669939,0.5130277001804779,0.8307291666666666,0.0234375,0.12413194444444445,0.020320428604166666,0.0,0.15787221994114464,0.5437651906403586
3,failure_history_only,0.3489583333333333,0.5,0.04119365896775787,0.7291035833333334,0.20647466666666664,0.34511218814584815,0.19908542267917267,0.5,0.2760416666666667,0.1840277777777778,0.03029062417361111,0.0,0.24858377574936988,-0.08877799457807348
